"Id","contexte_travail","fonction_recherche","statut_professionnel","statut_professionnel_Autre","annee_premiere_publi","Systeme_exploitation","Usage_telephone_mobile","Outils_gestion_travail_av_confinement_visioconférence","Outils_gestion_travail_av_confinement_planification_RDV","Outils_gestion_travail_av_confinement_gestion_temps","Outils_gestion_travail_av_confinement_métier_interne_entreprise","Outils_gestion_travail_av_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_av_confinement_services_ligne","Outils_gestion_travail_av_confinement_redaction_collectif","Outils_gestion_travail_av_confinement_gestion_references","Outils_gestion_travail_suite_confinement_visioconference","Outils_gestion_travail_suite_confinement_planification_RDV","Outils_gestion_travail_suite_confinement_gestion_temps","Outils_gestion_travail_suite_confinement_metier_interne_entreprise","Outils_gestion_travail_suite_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_suite_confinement_services_ligne","Outils_gestion_travail_suite_confinement_redaction_collectifs","Outils_gestion_travail_suite_confinement_gestion_references","Acces_informations_recherches_instititionnel","Acces_informations_recherches_moteur_recherche_generalistes","Acces_informations_recherches_moteur_recherche_scientifiques","Acces_informations_recherches_pay_per_view","Acces_informations_recherches_entrepot_donnees","Acces_informations_recherches_reseaux_numeriques_academiques","Acces_informations_recherches_archives_ouvertes","Acces_informations_recherches_bibliotheques_numeriques","Acces_informations_recherches_demandes_web","Acces_informations_recherches_extensions_navigateur","Acces_informations_recherches_bibliotheques_clandestines","Acces_informations_recherches_demande_auteurs","decouverte_outils_num_travail","type_donnees_nombres_valeurs_numeriques","type_donnees_textes","type_donnees_images","type_donnees_videos","type_donnees_ 3D","type_donnees_sons","volumetrie_donnees","Reutilisation_donnees","Archive_long_terme","tiers_archivage","Tiers_archivage_recod","crowdsourcing","outils_sauvegarde_carnets_papier","Outils_sauvegarde_carnets_numeriques","Outils_sauvegarde_base_donnees_labo","Outils_sauvegarde_supports_amovibles","Outils_sauvegarde_reseau_informatique_local","Outils_sauvegarde_disque_dur","Outils_sauvegarde_cloud_institutionnel","Outils_sauvegarde_cloud_non-institutionnel","logiciel_production_donnees","types_logiciels_production_donnees","Usage_outils_nettoyage","outils_nettoyage","Usage_outils_analyse","Outils_analyses","Usage_outils_visualisation","Outils_visualisation","usage_outils_systemes_qualif_donnees","Outils_redaction_documents_traitement_texte","Outils_redaction_documents_traitement_texte_ligne","Outils_redaction_documents_editeur_Latex","Outils_redaction_documents_balisage","Outils_redaction_documents_aide_redaction","Outils_redaction_documents_formats_specifiques","Outils_redaction_documents_gestionnaire_references","Outils_redaction_documents_traduction","Outils_redaction_documents_PAO","outils_production_figure","Formats_presentation_resultats_recherche_communication","Formats_presentation_resultats_recherche_articles_evaluation_pairs","Formats_presentation_resultats_recherche_articles_sans_evaluation_pairs","Formats_presentation_resultats_recherche_chapitre_ouvrage","Formats_presentation_resultats_recherche_presse","Formats_presentation_resultats_recherche_document_interne","Formats_presentation_resultats_recherche_reseaux_sociaux","Formats_presentation_resultats_recherche_livre","Formats_presentation_resultats_recherche_billet_web","Formats_presentation_resultats_recherche_billet_blog_personnel","Formats_presentation_resultats_recherche_autre","criteres_soumission_publi","Pre-print_non_evalues_platerforme_not_for_profit","Pre-print_non_evalues_reseaux-sociaux-num_academiques","Pre-print_non_evalues_site_web_personnel","Diffusion_donnees_produites_complement_plateforme_editeur","Diffusion_donnees_produites_article_donnees","Diffusion_donnees_produites_entrepots_generalistes","Diffusion_donnees_produites_entrepot_disciplinaire","Diffusion_donnees_produites_résultats_négatifs","Diffusion_autres_types_production_projet_recherche","Diffusion_autres_types_production_grant_proposals","Diffusion_autres_types_production_protocoles","Diffusion_autres_types_production_notebook","Diffusion_autres_types_production_codes","Diffusion_autres_types_production_prorotypes","Diffusion_autres_types_production_rapports","Diffusion_autres_types_production_materiels_accompagnement","Diffusion_autres_types_production_posters","Diffusion_publications_evaluees_pairs_archives_ouvertes","Diffusion_publications_evaluees_pairs_entrepots_generalistes","Diffusion_publications_evaluees_pairs_reseaux_sociaux_num_academiques","Valorisation_recherche_referencement","Valorisation_recherche_reseaux_sociaux_num_generalistes","Valorisation_recherche_reseaux_sociaux_num_academiques","Valorisation_recherche_presence_num","Valorisation_recherche_multimédia","Valorisation_recherche_media_ligne","Valorisation_recherche_sciences_citoyennes","Valorisation_recherche_transfert_technologie","Valorisation_recherche_conferences","Valorisation_recherche_hackatons","plateforme_evaluation_ouverte","quelles_plateforme_ouverte","Souhait_partage_donnees_produites-partenariat","Souhait_partage_donnees_produites_discipline","Souhait_partage_donnees_produites_pays_continent","Souhait_partage_donnees_produites_domaine_economique","Souhait_partage_donnees_produites_secteur_associatif","Souhait_partage_donnees_produites_sans_restriction","compatibilite_diffusion_partage","evolutions_pratiques_numeriques","sexe","disciplines_9niv","annee_de_naissance-recod10niv"
191,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"1995","MacOS","jamais","parfois","souvent","jamais","jamais","jamais","jamais","parfois","rarement","toujours","souvent","jamais","jamais","jamais","jamais","parfois","rarement","souvent","souvent","souvent","jamais","jamais","souvent","souvent","souvent","jamais","jamais","parfois","rarement","par des collègues, des amis;via les réseaux sociaux numériques (Twitter...);en cherchant par moi-même","souvent","souvent","jamais","jamais","jamais","souvent","Je ne comprends pas la question.","souvent","oui","disques durs externes","DD externe","non","souvent","parfois","jamais","toujours","jamais","toujours","jamais","jamais","LIMESURVEY","des logiciels payants;des logiciels libres et gratuits","jamais",,"souvent","SPAD, ALCESTE, VLC","toujours","WORD, OPEN OFFICE, EXCEL","jamais","toujours","jamais","jamais","jamais","jamais","jamais","rarement","rarement","jamais","OFFICE","souvent","souvent","rarement","souvent","rarement","rarement","rarement","parfois","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","oui","non","non","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"non","non","non","non","non","non",,,"une femme","Sciences sociales","51 à 55 ans"
192,"nous sommes entre 2 et 5 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"2020","Windows","jamais","parfois","souvent","jamais","souvent","jamais","parfois","parfois","parfois","souvent","souvent","jamais","souvent","jamais","souvent","souvent","parfois","souvent","parfois","souvent","jamais","jamais","rarement","parfois","jamais","jamais","jamais","jamais","parfois","par des collègues, des amis;en cherchant par moi-même","souvent","toujours","rarement","rarement","jamais","jamais","difficile à estimer ???","parfois","non",,,"non","souvent","rarement","rarement","rarement","toujours","toujours","jamais","parfois","Excel, access, R","des logiciels payants","jamais",,"souvent","analyse et traitement statistique","rarement","visualisation des résultats statistiques, par exemple des ACM ou ACP (stats descriptives élémentaires)","parfois","toujours","parfois","jamais","jamais","jamais","jamais","parfois","souvent","jamais","word","souvent","toujours","rarement","souvent","parfois","parfois","jamais","parfois","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…","jamais","jamais","jamais","parfois","parfois","jamais","jamais","jamais","non","non","non","non","non","non","oui","non","oui","toujours","jamais","rarement","souvent","jamais","rarement","souvent","jamais","parfois","jamais","jamais","souvent","jamais","oui, j'en ai entendu parler","journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","Travail en XXXX sur des données publiques (budget et compte administratif des collectivités territoriales, budget de l'Etat) donc accessibles à tous.tes u tite de la transparence de l'usage des deniers publics

Des efforts importants à faire en amont des recherches pour la transparence et l'accès aux documents publics des Collectivités, une condition sine qua non du renforcement progressif du processus de décentralisation","oui, sûrement mais beaucoup d'incertitude et de ""flou"" sur les évolutions en cours","un homme","Sciences sociales","46 à 50 ans"
193,"je travaille seul","doctorant / doctorante (y compris CIFRE)","contrat doctoral",,"2020","MacOS","parfois","parfois","souvent","jamais","jamais","jamais","parfois","souvent","toujours","souvent","souvent","jamais","jamais","jamais","parfois","souvent","toujours","toujours","souvent","toujours","jamais","jamais","parfois","souvent","parfois","jamais","jamais","souvent","jamais","par des collègues, des amis;via les réseaux sociaux numériques (Twitter...);en cherchant par moi-même","parfois","toujours","toujours","rarement","jamais","souvent","Impossible à dire ...","parfois","non",,,"non","toujours","jamais","jamais","souvent","jamais","toujours","jamais","toujours","Word, Scrivener, XMind, Troppy,","des logiciels payants;des logiciels partiellement ou complètement gratuits mais propriétaires;des logiciels libres et gratuits","jamais",,"jamais",,"parfois","XMind, Troppy, Zotero","souvent","toujours","parfois","jamais","jamais","toujours","jamais","toujours","jamais","jamais","XMind","parfois","parfois","parfois","parfois","jamais","parfois","toujours","parfois","jamais","toujours","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;transparence du processus d'évaluation;diffusion en accès libre (choix personnel)","souvent","jamais","toujours","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","parfois","jamais","jamais","jamais","souvent","jamais","souvent","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","C'est complétement complémentaire.","Tenter de partager mes résultats de recherche autant que possible sur HAL et sur mon carnet hypothèses notamment","un homme","Sciences sociales","moins de 25 ans"
194,"nous sommes entre 2 et 5 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"2002","Windows;MacOS","rarement","parfois","parfois","jamais","parfois","jamais","parfois","parfois","rarement","souvent","parfois","jamais","parfois","jamais","parfois","parfois","rarement","parfois","souvent","souvent","jamais","jamais","rarement","parfois","parfois","jamais","jamais","jamais","rarement","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","jamais","souvent","jamais","rarement","jamais","jamais","en quels termes ??","rarement","oui",,,"non","rarement","rarement","jamais","souvent","jamais","souvent","jamais","rarement","aucun","des logiciels payants","jamais",,"jamais",,"jamais",,"jamais","toujours","rarement","jamais","jamais","jamais","jamais","parfois","rarement","jamais","PPT","parfois","parfois","parfois","parfois","parfois","rarement","jamais","parfois","jamais","jamais","jamais","diffusion en accès libre (imposé par mon institution, financeur);notoriété de la revue, de l'éditeur, du congrès dans ma discipline","souvent","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","oui","non","non","souvent","jamais","jamais","jamais","jamais","parfois","parfois","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","non","non","non","non","non","en quels termes de compatibilité ?","oui","un homme","Sciences sociales","46 à 50 ans"
195,"je travaille seul","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"1989","MacOS","jamais","jamais","parfois","jamais","rarement","jamais","souvent","jamais","jamais","rarement","parfois","jamais","rarement","jamais","souvent","jamais","toujours","rarement","toujours","rarement","jamais","jamais","toujours","souvent","toujours","jamais","jamais","toujours","rarement","par des collègues, des amis;par mon institution, mon entreprise","rarement","toujours","toujours","jamais","jamais","jamais","?","souvent","oui","DD externes","DD externe","non","jamais","jamais","toujours","toujours","jamais","toujours","souvent","souvent","??","des logiciels payants;des logiciels partiellement ou complètement gratuits mais propriétaires;des logiciels libres et gratuits;des logiciels payants ""crackés""","rarement","Microsoft","jamais",,"jamais",,"toujours","toujours","jamais","jamais","jamais","jamais","jamais","toujours","souvent","parfois",,"rarement","souvent","souvent","toujours","jamais","rarement","jamais","rarement","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","parfois","jamais","toujours","souvent","jamais","toujours","jamais","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"non","oui","oui","non","non","non","oui",",","un homme","Sciences sociales","51 à 55 ans"
196,"nous sommes entre 2 et 5 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"2001","MacOS","parfois","souvent","parfois","jamais","jamais","jamais","parfois","jamais","jamais","souvent","parfois","jamais","jamais","jamais","parfois","jamais","jamais","souvent","souvent","souvent","jamais","jamais","souvent","jamais","jamais","jamais","jamais","souvent","jamais","par des collègues, des amis;par mon institution, mon entreprise;par une veille sur ces questions;en cherchant par moi-même","souvent","parfois","jamais","jamais","jamais","jamais","1Go","parfois","oui","Aucun","Aucun tiers","non","jamais","jamais","jamais","jamais","jamais","toujours","toujours","jamais","Thomson Nikon; Limesurvey","des logiciels payants;des logiciels internes à mon organisation","parfois","MS Excel","souvent","R, Gretl","parfois","MS Excel, R, Gretl","parfois","toujours","jamais","jamais","jamais","jamais","jamais","jamais","toujours","jamais",,"souvent","toujours","jamais","jamais","rarement","rarement","jamais","jamais","rarement","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…","jamais","rarement","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","rarement","jamais","souvent","toujours","jamais","toujours","toujours","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","non","non","non","non","non",,,"un homme","Sciences sociales","41 à 45 ans"
197,"nous sommes entre 6 et 10 personnes","doctorant / doctorante (y compris CIFRE)","en CDD",,"2016","Windows","rarement","parfois","parfois","rarement","jamais","jamais","toujours","parfois","toujours","souvent","parfois","rarement","jamais","jamais","toujours","parfois","toujours","souvent","toujours","parfois","jamais","jamais","rarement","parfois","rarement","jamais","jamais","toujours","rarement","par des collègues, des amis;en cherchant par moi-même","toujours","toujours","jamais","jamais","jamais","jamais","je ne comprends pas cette question","parfois","oui","moi","conservation personnelle","non","jamais","toujours","rarement","parfois","toujours","souvent","rarement","toujours","XLSstat, sonal","des logiciels payants;des logiciels libres et gratuits","rarement","XLS","toujours","XLSTAT ; Sonal","toujours","XLstat","rarement","toujours","jamais","jamais","jamais","jamais","jamais","toujours","souvent","jamais",,"toujours","parfois","parfois","jamais","parfois","jamais","jamais","jamais","jamais","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);critères HCERES, FNGE, CNRS, CNU…;notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","oui","non","oui","non","non","non","non","non","oui","jamais","jamais","jamais","jamais","jamais","parfois","jamais","rarement","jamais","jamais","jamais","toujours","jamais","non, je ne sais pas ce que c'est",,"non","non","non","non","non","non","Pas dans le système actuel","Je n'en sais rien","un homme","Sciences sociales","25 à 30 ans"
198,"je travaille seul","chargé / chargée de recherche (CNRS, INSERM, INRAE, CNES...)","chômage",,"2015","Windows","rarement","parfois","rarement","jamais","jamais","jamais","rarement","rarement","jamais","souvent","rarement","jamais","jamais","jamais","rarement","rarement","jamais","rarement","souvent","souvent","jamais","jamais","parfois","parfois","parfois","jamais","jamais","rarement","parfois","par des collègues, des amis;en cherchant par moi-même","rarement","toujours","parfois","rarement","jamais","souvent","En quelle unité ? Quel type de recherche (projet collectif ? rédaction d'un article) ?","souvent","non",,,"non","souvent","toujours","jamais","toujours","jamais","toujours","jamais","souvent","Word","des logiciels payants","jamais",,"jamais",,"jamais",,"jamais","toujours","rarement","jamais","jamais","jamais","jamais","jamais","souvent","jamais","Outils de Word et PPT","toujours","souvent","rarement","parfois","jamais","rarement","jamais","parfois","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;transparence du processus d'évaluation;refus des revues prédatrices","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","souvent","jamais","souvent","souvent","jamais","souvent","souvent","rarement","jamais","jamais","jamais","jamais","jamais","oui, j'en ai entendu parler","journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...)","oui","oui","oui","oui","oui","oui","Oui","Oui, la visioconférence risque de prendre le pas sur les rencontres en présentiel et les revues scientifiques papier de disparaître. Le travail de recherche bibliographique/documentaire se fera presque exclusivement sur ordinateur et en ligne.","un homme","Sciences sociales","36 à 40 ans"
199,"je travaille seul","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1994","MacOS","parfois","jamais","parfois","jamais","jamais","jamais","parfois","jamais","jamais","souvent","parfois","jamais","jamais","jamais","parfois","rarement","jamais","parfois","souvent","jamais","jamais","jamais","jamais","rarement","souvent","jamais","jamais","jamais","jamais","par des collègues, des amis;en cherchant par moi-même","rarement","toujours","parfois","rarement","jamais","jamais","dix références bibliographiques","rarement","oui","A ma clef USB","clef USB","non","jamais","jamais","jamais","souvent","jamais","toujours","jamais","jamais","Word (parfois Excel)","des logiciels payants","jamais",,"jamais",,"jamais",,"rarement","toujours","rarement","jamais","jamais","jamais","jamais","jamais","parfois","jamais",,"parfois","souvent","parfois","parfois","rarement","jamais","jamais","souvent","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;transparence du processus d'évaluation;critères HCERES, FNGE, CNRS, CNU…","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","jamais","jamais","jamais","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","oui","non","non","non","non","Oui, pour ceux qui en éprouve la nécessité","Oui. Plus de travail collaboratif à distance","un homme","Sciences sociales","51 à 55 ans"
200,"nous sommes entre 2 et 5 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1983","Linux","rarement","jamais","parfois","jamais","jamais","jamais","rarement","parfois","jamais","rarement","parfois","jamais","jamais","jamais","rarement","rarement","jamais","souvent","parfois","parfois","jamais","jamais","parfois","souvent","souvent","jamais","rarement","jamais","parfois","en cherchant par moi-même","rarement","toujours","souvent","rarement","jamais","jamais","Comme le travail se fait sur textes essentiellement, cette question sur la quantité n'est pas pertinente","parfois","oui","sur clef USB personnelle, jamais à des tiers","clef USB","non","souvent","rarement","jamais","souvent","jamais","toujours","jamais","jamais","sous Linux","des logiciels libres et gratuits","jamais",,"jamais",,"jamais",,"jamais","toujours","rarement","jamais","jamais","jamais","jamais","jamais","parfois","jamais","Copies d'écran ou photographies prises par moi-même, parfois même s'agissant de schémas réalisés sur papier","souvent","souvent","parfois","souvent","rarement","rarement","parfois","parfois","jamais","souvent","rarement","refus des revues prédatrices;notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","jamais","parfois","rarement","jamais","jamais","jamais","jamais","oui","non","non","non","non","non","oui","non","non","rarement","jamais","jamais","rarement","jamais","rarement","rarement","jamais","rarement","jamais","jamais","parfois","jamais","oui, j'en ai entendu parler","journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","non","oui","oui","Ce ne sont pas des activités de valorisation. C'est une contribution à l'avancée de la science, quelles qu'elles soient. La fonction du partage assure d'un déploiement de l'interdisciplinarité indispensable à une diffusion des savoirs et des conneissances.","Inévitable... et en même temps au risque d'être dommageables parce que les données deviennent facilement manipulables et falsifiables - sans par ler de l'ampleur du phénomène du plagiat, exponentielle !","une femme","Sciences humaines","61 à 65 ans"
201,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2008","Linux","parfois","parfois","parfois","jamais","souvent","jamais","rarement","parfois","souvent","souvent","parfois","jamais","rarement","jamais","rarement","parfois","souvent","toujours","parfois","rarement","jamais","jamais","parfois","parfois","jamais","jamais","jamais","souvent","rarement","par des collègues, des amis;par mon institution, mon entreprise;au cours d'une formation","souvent","jamais","jamais","jamais","jamais","jamais","En quelle unité ?","parfois","oui","Moi","conservation personnelle","oui","jamais","jamais","rarement","parfois","rarement","souvent","rarement","jamais","R, SimaPro, OpenLCA, CES","des logiciels payants;des logiciels partiellement ou complètement gratuits mais propriétaires;des logiciels libres et gratuits","jamais",,"jamais",,"parfois","R, LibreOfficeCalc","jamais","souvent","rarement","parfois","jamais","jamais","jamais","souvent","rarement","souvent","LibreOfficeDraw, Inkscape","souvent","parfois","jamais","jamais","jamais","jamais","jamais","rarement","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);frais de publications (Article Processing Charges)","toujours","souvent","jamais","rarement","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","toujours","jamais","souvent","jamais","jamais","souvent","toujours","jamais","jamais","jamais","rarement","jamais","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","Les données brutes, sans éléments de contexte me semblent difficiles à partager largement, car trop ouvertes à des mésinterprétations.","Non.","une femme","Science de l'ingénieur","31 à 35 ans"
202,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2018","Windows","jamais","rarement","parfois","jamais","parfois","jamais","parfois","parfois","parfois","parfois","parfois","jamais","parfois","jamais","parfois","parfois","parfois","souvent","parfois","parfois","jamais","jamais","parfois","rarement","jamais","jamais","jamais","parfois","parfois","par des collègues, des amis;en cherchant par moi-même","toujours","jamais","jamais","jamais","jamais","jamais","100","jamais","non",,,"non","parfois","jamais","jamais","souvent","jamais","souvent","souvent","souvent","aucun","des logiciels payants","jamais",,"parfois","jasp, jamovi, SPSS, AMOS","jamais",,"jamais","toujours","rarement","jamais","jamais","jamais","jamais","souvent","rarement","jamais","word","parfois","souvent","jamais","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","toujours","jamais","parfois","rarement","jamais","rarement","parfois","jamais","jamais","jamais","jamais","jamais","jamais","oui, j'en ai entendu parler",,"oui","oui","non","oui","oui","oui","oui",,"un homme","Sciences humaines","46 à 50 ans"
203,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"1992","Windows","rarement","parfois","souvent","jamais","jamais","jamais","parfois","parfois","toujours","toujours","toujours","jamais","jamais","jamais","souvent","souvent","toujours","parfois","rarement","toujours","rarement","jamais","parfois","parfois","parfois","jamais","jamais","jamais","rarement","par des collègues, des amis;en cherchant par moi-même","toujours","parfois","parfois","jamais","jamais","jamais","question non comprise","jamais","oui","personne","Aucun tiers","non","rarement","rarement","parfois","toujours","jamais","toujours","toujours","toujours","E prime, Opensesame","des logiciels payants;des logiciels libres et gratuits;des logiciels version d'essai ou démo;des logiciels payants ""crackés""","jamais",,"toujours","logiciels de traitements statistiques Statistica, R","jamais",,"jamais","toujours","parfois","jamais","jamais","jamais","jamais","toujours","parfois","jamais","excel","souvent","souvent","parfois","souvent","jamais","rarement","jamais","parfois","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;frais de publications (Article Processing Charges)","jamais","parfois","jamais","parfois","jamais","jamais","jamais","jamais","oui","non","non","non","non","non","oui","non","oui","parfois","jamais","parfois","jamais","jamais","parfois","parfois","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","oui","non","oui","elles vont certainement évaluer grâce au développement du distanciel","une femme","Sciences humaines","51 à 55 ans"
204,"je travaille seul","doctorant / doctorante (y compris CIFRE)","contrat doctoral",,"2020","MacOS","souvent","rarement","jamais","jamais","jamais","jamais","parfois","parfois","toujours","souvent","jamais","jamais","jamais","jamais","jamais","jamais","toujours","jamais","toujours","toujours","jamais","jamais","toujours","souvent","toujours","jamais","jamais","parfois","rarement","par des collègues, des amis;par mon institution, mon entreprise;via les réseaux sociaux numériques (Twitter...);au cours d'une formation;en cherchant par moi-même","souvent","toujours","parfois","parfois","jamais","jamais","?","parfois","non",,,"non","toujours","toujours","jamais","toujours","jamais","toujours","jamais","jamais","dragon, googledoc, zoom","des logiciels libres et gratuits;des logiciels payants;des logiciels payants ""crackés""","jamais",,"parfois","nvivo, R","parfois","nvivo","rarement","toujours","jamais","jamais","jamais","jamais","jamais","toujours","parfois","jamais","keynote, word, powerpoint","parfois","jamais","jamais","jamais","jamais","parfois","jamais","jamais","jamais","jamais","jamais","critères HCERES, FNGE, CNRS, CNU…;notoriété de la revue, de l'éditeur, du congrès dans ma discipline;refus des revues prédatrices","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","parfois","jamais","parfois","parfois","jamais","parfois","parfois","jamais","jamais","jamais","jamais","parfois","jamais","oui, j'en ai entendu parler","outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","oui","oui, amener à se développer","un homme","Sciences humaines","36 à 40 ans"
205,"je travaille seul","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"1994","MacOS","souvent","rarement","toujours","jamais","parfois","souvent","toujours","toujours","toujours","rarement","toujours","jamais","parfois","souvent","toujours","toujours","toujours","toujours","toujours","souvent","rarement","jamais","souvent","souvent","parfois","rarement","rarement","jamais","parfois","par des collègues, des amis;par mon institution, mon entreprise;via les réseaux sociaux numériques (Twitter...);au cours d'une formation;en cherchant par moi-même","rarement","toujours","parfois","parfois","jamais","parfois","20 Mo","souvent","oui",,,"non","jamais","souvent","rarement","toujours","toujours","toujours","toujours","souvent","word","des logiciels payants","parfois","word","souvent","word, TXM, NooJ","rarement","TXM, NooJ","parfois","toujours","souvent","jamais","jamais","jamais","jamais","toujours","parfois","jamais",,"souvent","souvent","souvent","souvent","rarement","jamais","jamais","parfois","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","souvent","jamais","jamais","jamais","jamais","jamais","jamais","oui","non","non","non","non","non","non","non","non","souvent","jamais","parfois","jamais","rarement","parfois","rarement","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","Cela me semble essentiel","Oui. 
- augmentation en volume des écritures collaboratives (type GoogleDoc)
- échanges en visio","une femme","Sciences humaines","51 à 55 ans"
